Date,최고가,최저가,시작가,종가,거래량,등락
2020-11-11,2488.0400390625,2459.5,2459.5,2485.8701171875,1272000,0
2020-11-12,2488.7900390625,2467.0400390625,2482.679931640625,2475.6201171875,1278100,1
2020-11-13,2495.77001953125,2460.9599609375,2470.1201171875,2493.8701171875,1072400,1
2020-11-16,2546.3701171875,2507.4599609375,2507.4599609375,2543.030029296875,1239100,0
2020-11-17,2556.090087890625,2533.340087890625,2544.1201171875,2539.14990234375,1266400,1
2020-11-18,2553.949951171875,2536.780029296875,2548.85009765625,2545.639892578125,923500,1
2020-11-19,2548.949951171875,2529.530029296875,2536.889892578125,2547.419921875,976500,1
2020-11-20,2558.2099609375,2539.7900390625,2544.06005859375,2553.5,1128900,1
2020-11-23,2605.580078125,2553.699951171875,2560.0400390625,2602.590087890625,1648900,1
2020-11-24,2628.52001953125,2605.030029296875,2616.280029296875,2617.760009765625,1364500,0
2020-11-25,2642.260009765625,2583.409912109375,2637.340087890625,2601.5400390625,1410100,1
2020-11-26,2625.969970703125,2592.429931640625,2605.72998046875,2625.909912109375,1387400,1
2020-11-27,2635.0,2618.469970703125,2624.800048828125,2633.449951171875,1196000,0
2020-11-30,2648.659912109375,2591.340087890625,2648.050048828125,2591.340087890625,1311800,1
2020-12-01,2638.8701171875,2611.669921875,2613.419921875,2634.25,1150300,1
2020-12-02,2677.260009765625,2644.530029296875,2645.8798828125,2675.89990234375,1076200,1
2020-12-03,2696.219970703125,2672.85009765625,2686.3798828125,2696.219970703125,817100,1
2020-12-04,2742.77001953125,2705.340087890625,2705.340087890625,2731.449951171875,1778900,1
2020-12-07,2754.010009765625,2711.419921875,2738.110107421875,2745.43994140625,1499300,0
2020-12-08,2747.449951171875,2700.919921875,2745.1298828125,2700.929931640625,1414300,1
2020-12-09,2755.469970703125,2703.300048828125,2703.300048828125,2755.469970703125,1252300,0
2020-12-10,2765.4599609375,2718.699951171875,2750.340087890625,2746.4599609375,1227700,1
2020-12-11,2781.0400390625,2754.159912109375,2754.159912109375,2770.06005859375,1215200,0
2020-12-14,2782.7900390625,2755.2900390625,2769.429931640625,2762.199951171875,1113600,0
2020-12-15,2769.3701171875,2735.080078125,2763.64990234375,2756.820068359375,1092700,1
2020-12-16,2781.080078125,2761.5,2763.639892578125,2771.7900390625,1166600,0
2020-12-17,2772.7099609375,2742.25,2769.889892578125,2770.429931640625,1015500,1
